HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Parma,Milan,2,2,5.75,4.0,1.57,14,10,4,5,4,3,1,1,1
Malaga,Cordoba,2,2,2.2,3.2,3.3,11,15,7,6,2,2,1,1,1
La Coruna,Cultural Leonesa,3,0,1.53,4.2,5.25,9,11,3,5,1,1,1,0,2
M'gladbach,FC Koln,3,1,2.2,3.6,3.1,9,19,4,5,2,6,1,1,2
Union Berlin,Bayern Munich,2,2,13.0,7.0,1.2,12,12,4,4,6,5,1,1,1
Excelsior,Heracles,1,2,1.91,4.1,3.5,12,10,5,5,6,13,1,1,0
Sudtirol,Carrarese,1,1,2.25,3.2,3.05,7,24,2,7,1,10,0,1,1
Reggiana,Virtus Entella,0,0,2.55,2.95,2.85,7,17,2,3,4,13,0,0,1
Hoffenheim,RB Leipzig,3,1,2.6,3.9,2.4,12,17,4,5,5,5,1,1,2
Juventus,Torino,0,0,1.5,4.1,7.0,22,8,6,3,6,2,0,0,1
Huesca,Andorra,2,2,2.3,3.05,3.2,10,20,5,3,1,3,1,1,1
Leverkusen,Heidenheim,6,0,1.4,5.0,6.5,25,1,10,0,11,1,1,0,2
Rotherham,Lincoln,3,0,3.4,3.3,2.05,13,10,5,4,4,6,1,0,2
Bielefeld,Karlsruhe,4,0,2.2,3.6,3.0,19,8,6,2,3,5,1,0,2
Guingamp,Pau FC,2,2,2.1,3.4,3.3,9,9,4,5,6,2,1,1,1
Sociedad B,Leganes,2,1,3.5,3.2,2.1,12,9,2,3,2,6,1,1,2
Cercle Brugge,Oud-Heverlee Leuven,1,2,2.1,3.5,3.4,17,9,5,4,8,3,1,1,0
Charleroi,Westerlo,2,0,2.1,3.4,3.3,13,14,8,5,7,5,0,0,2
Marseille,Brest,3,0,1.44,4.75,6.5,19,4,7,2,6,2,1,0,2
Le Mans,Red Star,0,0,2.2,3.2,3.4,9,8,3,2,5,6,0,0,1
Como,Cagliari,0,0,1.48,4.5,6.5,10,4,6,2,10,0,0,0,1
Espanol,Villarreal,0,2,2.8,3.5,2.38,14,9,3,3,4,2,0,0,0
Peterboro,AFC Wimbledon,5,0,2.5,3.25,2.65,13,11,5,4,3,5,1,0,2
Monaco,Lens,1,4,2.05,3.9,3.2,16,20,6,12,5,4,1,1,0
Lecce,Verona,0,0,2.75,2.9,2.9,11,5,6,2,7,2,0,0,1
Juventus,Torino,0,0,1.5,4.1,7.0,22,8,6,3,6,2,0,0,1
Huddersfield,Plymouth,3,1,1.79,3.6,4.0,20,8,9,2,11,3,1,1,2
Parma,Milan,2,2,5.75,4.0,1.57,14,10,4,5,4,3,1,1,1
Troyes,St Etienne,2,3,2.2,3.4,3.0,21,7,8,5,6,0,1,1,0
Le Havre,Nantes,1,1,1.9,3.3,4.5,17,5,4,2,8,3,0,1,1
Exeter,Wigan,1,1,2.82,3.2,2.4,14,13,4,7,8,4,0,1,1
Hannover,Darmstadt,2,3,2.0,3.5,3.5,20,16,10,8,5,5,1,1,0
Doncaster,Barnsley,1,2,2.15,3.5,2.95,18,10,5,4,5,8,1,1,0
Stockport,Luton,0,3,2.05,3.25,3.5,13,8,3,6,5,3,1,0,0
West Ham,Burnley,3,2,1.91,3.5,4.0,15,16,6,7,7,4,1,1,2
Everton,Fulham,2,0,2.2,3.3,3.4,14,8,5,4,7,5,0,0,2
Ath Madrid,Levante,3,1,1.22,6.5,12.0,25,6,10,3,21,4,1,1,2
Schalke 04,Elversberg,1,0,2.25,3.3,3.2,7,6,2,0,1,5,0,0,2
Tottenham,Man United,2,2,2.63,3.6,2.5,10,5,4,2,5,3,1,1,1
Sunderland,Arsenal,2,2,7.5,5.0,1.38,6,17,2,7,2,2,1,1,1
Chelsea,Wolves,3,0,1.36,4.75,8.5,20,3,8,0,10,1,1,0,2
Venezia,Sampdoria,3,1,1.66,3.6,5.0,18,8,7,4,3,6,1,1,2
St Mirren,Hibernian,0,3,2.7,3.25,2.5,9,15,4,5,5,6,1,0,0
Sevilla,Osasuna,1,0,2.15,3.3,3.5,10,9,4,3,5,6,0,0,2
Girona,Alaves,1,0,2.4,3.25,3.0,10,14,2,5,6,1,0,0,2
Kaiserslautern,Hertha,0,1,2.25,3.6,2.88,16,9,9,3,7,4,0,0,0
Zwolle,Sparta Rotterdam,1,0,2.5,3.6,2.63,11,14,3,1,3,6,0,0,2
Antwerp,RAAL La Louviere,3,1,2.15,3.2,3.4,11,6,5,1,7,4,1,1,2
Falkirk,Livingston,1,1,1.81,3.6,4.1,12,11,2,5,6,1,0,1,1
Mantova,Reggiana,0,1,2.01,3.4,3.6,18,8,5,3,10,3,0,0,0
Torino,Milan,2,3,4.5,3.6,1.8,8,17,4,6,2,4,1,1,0
Monza,Sudtirol,1,1,1.51,3.75,6.5,11,13,5,3,3,0,0,1,1
Guimaraes,Gil Vicente,0,0,2.75,2.95,2.65,10,6,3,1,8,4,0,0,1
Osasuna,Levante,2,0,1.73,3.8,4.5,14,11,6,5,3,3,0,0,2
Avellino,Venezia,1,1,4.5,3.7,1.71,2,26,2,10,2,10,0,1,1
Las Palmas,Mirandes,0,0,1.51,3.7,6.5,10,15,3,4,2,3,0,0,1
Virtus Entella,Spezia,0,1,2.3,3.05,3.2,6,14,3,3,5,6,0,0,0
Modena,Catanzaro,1,2,1.66,3.5,5.25,19,8,6,3,8,2,1,1,0
Padova,Cesena,1,1,3.25,2.82,2.4,8,16,3,4,2,4,0,1,1
Bari,Pescara,1,1,1.91,3.3,4.1,13,15,5,5,9,1,0,1,1
Pisa,Parma,0,1,2.4,3.0,3.3,14,9,2,2,6,0,0,0,0
Udinese,Genoa,1,2,2.4,3.0,3.3,23,12,6,6,6,2,1,1,0
Torino,Milan,2,3,4.5,3.6,1.8,8,17,4,6,2,4,1,1,0
Reims,Laval,4,0,1.62,3.75,5.25,11,3,5,0,5,2,1,0,2
Malaga,Zaragoza,1,1,2.01,3.25,3.75,19,15,7,5,8,4,0,1,1
Burgos,Albacete,0,1,2.15,3.05,3.5,13,9,3,2,5,5,0,0,0
Udinese,Genoa,1,2,2.4,3.0,3.3,23,12,6,6,6,2,1,1,0
Pisa,Parma,0,1,2.4,3.0,3.3,14,9,2,2,6,0,0,0,0
Frosinone,Juve Stabia,3,0,2.01,3.3,3.6,18,10,8,0,4,1,1,0,2
Wolves,Man United,1,4,4.2,4.0,1.75,8,27,2,10,1,9,1,1,0
Getafe,Sociedad,1,2,3.3,2.9,2.45,6,12,3,5,2,4,1,1,0
Cadiz,Sp Gijon,3,2,2.57,3.0,2.75,10,26,5,10,5,15,1,1,2
Ein Frankfurt,Dortmund,3,3,3.6,3.8,1.95,12,16,6,6,2,5,1,1,1
Roma,Cagliari,2,0,1.48,4.1,7.5,15,3,5,1,7,1,0,0,2
Porto,Sp Lisbon,1,1,2.25,3.0,3.4,8,11,1,3,1,8,0,1,1
Villarreal,Espanol,4,1,1.7,4.33,4.33,10,9,3,2,5,8,1,1,2
Amiens,Clermont,4,3,2.6,3.0,2.5,9,20,6,6,7,4,1,1,2
Atalanta,Cremonese,2,1,1.36,5.0,8.5,29,12,9,2,13,2,1,1,2
Sheffield United,Middlesbrough,1,2,2.2,3.5,3.1,13,19,5,9,8,8,1,1,0
Roma,Cagliari,2,0,1.48,4.1,7.5,15,3,5,1,7,1,0,0,2
Atalanta,Cremonese,2,1,1.36,5.0,8.5,29,12,9,2,13,2,1,1,2
Santander,Mirandes,1,0,1.49,4.5,5.5,19,8,7,2,7,3,0,0,2
Famalicao,AVS,3,1,1.37,4.5,8.0,14,7,6,1,7,2,1,1,2
Almeria,Cultural Leonesa,3,0,1.49,4.33,5.75,10,7,4,2,1,2,1,0,2
Dunkerque,Reims,1,1,3.0,3.1,2.1,7,13,4,3,4,4,0,1,1
Lazio,Sassuolo,2,1,2.15,3.25,3.5,13,7,5,4,1,6,1,1,2
Lazio,Sassuolo,2,1,2.15,3.25,3.5,13,7,5,4,1,6,1,1,2
Tondela,Rio Ave,0,1,1.96,3.25,3.9,6,9,2,2,3,2,0,0,0
Espanol,Oviedo,1,1,1.85,3.4,4.33,28,6,9,3,8,0,0,1,1
Peterboro,Luton,0,2,4.0,3.7,1.85,6,8,2,3,3,6,0,0,0
Guingamp,Le Mans,3,3,1.67,3.5,4.5,14,10,7,3,10,5,1,1,1
Rodez,Nancy,0,0,2.05,3.25,3.25,11,12,5,2,4,9,0,0,1
Pau FC,Annecy,2,0,2.3,3.2,2.75,9,4,3,1,5,5,0,0,2
Montpellier,Red Star,1,1,1.85,3.3,3.7,6,7,2,3,1,2,0,1,1
Laval,St Etienne,3,3,2.8,3.3,2.2,10,10,4,6,4,7,1,1,1
Dunkerque,Clermont,2,2,2.1,3.1,3.2,15,6,4,4,9,2,1,1,1
Reading,Huddersfield,0,2,3.0,3.5,2.25,8,12,2,6,4,10,0,0,0
Nijmegen,Excelsior,5,0,1.75,4.0,4.33,15,9,10,6,7,2,1,0,2
Feyenoord,NAC Breda,2,0,1.18,8.5,11.0,20,7,4,0,3,4,0,0,2
Heerenveen,Volendam,1,1,1.57,4.2,5.5,18,5,6,3,9,2,0,1,1
PSV Eindhoven,Sparta Rotterdam,6,1,1.2,7.5,11.0,22,8,12,4,8,5,1,1,2
Nacional,Gil Vicente,0,2,2.5,3.1,2.9,15,12,4,2,14,6,0,0,0
Arouca,AVS,3,1,1.83,3.5,4.33,9,15,4,2,4,5,1,1,2
Troyes,Grenoble,2,1,1.7,3.4,4.33,21,5,9,5,3,1,1,1,2
AFC Wimbledon,Lincoln,2,0,3.0,3.25,2.38,15,2,3,0,6,3,0,0,2
Westerlo,Mechelen,0,1,2.45,3.6,2.5,18,6,2,3,8,5,0,0,0
Wycombe,Stockport,1,2,2.5,3.25,2.8,14,9,6,3,8,4,1,1,0
Club Brugge,Cercle Brugge,2,0,1.45,4.33,6.25,14,10,5,2,9,5,0,0,2
Sheffield United,Bristol City,1,4,1.7,3.75,4.75,20,9,6,5,14,3,1,1,0
West Brom,Blackburn,1,0,1.83,3.4,4.33,13,10,5,1,3,7,0,0,2
Stoke,Derby,3,1,2.3,3.2,3.2,12,3,7,2,7,3,1,1,2
QPR,Preston,1,1,2.3,3.2,3.2,13,11,3,3,5,4,0,1,1
Oxford,Portsmouth,0,1,2.55,3.4,2.7,18,9,4,4,8,4,0,0,0
Gent,St. Gilloise,2,3,5.0,4.1,1.6,20,12,6,8,5,10,1,1,0
Stevenage,Rotherham,1,0,1.8,3.5,4.5,12,5,2,0,5,5,0,0,2
Northampton,Bradford,0,0,3.0,3.2,2.35,4,14,1,2,6,3,0,0,1
Norwich,Millwall,1,2,2.0,3.3,3.8,15,15,3,3,6,5,1,1,0
Middlesbrough,Swansea,1,0,2.0,3.5,3.6,6,3,3,1,7,2,0,0,2
Coventry,Hull,0,0,1.73,3.8,4.5,18,7,3,3,8,2,0,0,1
Southampton,Wrexham,2,1,1.7,3.75,4.75,27,10,10,2,7,4,1,1,2
Braunschweig,Greuther Furth,3,2,2.35,3.3,3.0,9,20,4,4,3,9,1,1,2
Bolton,Plymouth,2,0,1.67,3.9,4.75,13,3,2,0,8,3,0,0,2
Exeter,Blackpool,4,1,3.4,3.3,2.15,17,10,7,3,6,5,1,1,2
Livingston,Falkirk,3,1,2.6,3.4,2.63,8,8,5,3,4,5,1,1,2
St Mirren,Motherwell,0,0,1.95,3.5,3.8,9,7,4,3,7,4,0,0,1
Charlton,Watford,1,0,2.45,3.3,2.88,12,10,5,1,3,2,0,0,2
Barnsley,Burton,3,2,1.7,3.8,4.75,12,7,7,3,7,4,1,1,2
Rangers,Dundee,1,1,1.17,7.5,17.0,20,7,5,2,7,4,0,1,1
Fortuna Dusseldorf,Hannover,0,2,2.5,3.6,2.6,9,10,1,3,5,2,0,0,0
Leyton Orient,Wigan,2,0,2.05,3.4,3.6,14,4,5,0,2,3,0,0,2
Mansfield,Doncaster,1,2,2.45,3.4,2.75,7,13,3,2,2,5,1,1,0
Dresden,Magdeburg,1,2,2.45,3.6,2.63,23,9,2,6,6,5,1,1,0
Kaiserslautern,Schalke 04,1,0,2.38,3.5,2.8,11,9,2,4,5,3,0,0,2
Genoa,Fiorentina,2,2,2.75,3.0,2.75,10,7,6,3,3,7,1,1,1
Celtic,Kilmarnock,4,0,1.13,7.5,13.0,21,3,7,1,8,7,1,0,2
Inter,Lazio,2,0,1.36,5.0,8.0,8,8,3,5,3,1,0,0,2
Roma,Udinese,2,0,1.55,4.0,6.25,13,10,4,4,3,4,0,0,2
Bologna,Napoli,2,0,3.0,3.1,2.55,11,4,4,1,5,4,0,0,2
Hearts,Dundee United,1,1,1.37,4.5,7.5,11,7,2,3,4,3,0,1,1
Braunschweig,Bochum,0,2,2.9,3.6,2.25,23,13,6,4,10,9,0,0,0
Holstein Kiel,Fortuna Dusseldorf,1,0,1.9,3.7,3.7,13,17,4,6,3,5,0,0,2
Magdeburg,Paderborn,0,1,3.4,3.7,2.0,17,12,3,6,3,5,0,0,0
Utrecht,Ajax,2,1,2.7,3.7,2.45,16,10,6,4,6,4,1,1,2
Nijmegen,Groningen,2,0,1.95,3.8,3.6,13,10,5,4,9,3,0,0,2
AZ Alkmaar,PSV Eindhoven,1,5,3.0,4.0,2.1,8,15,3,6,4,6,1,1,0
Atalanta,Sassuolo,0,3,1.44,4.5,7.0,14,8,2,4,4,1,1,0,0
Dundee,Rangers,0,3,7.0,4.33,1.41,10,15,5,10,4,6,1,0,0
Man City,Liverpool,3,0,1.9,3.9,3.7,14,7,6,1,7,7,1,0,2
Aberdeen,Motherwell,1,1,2.2,3.8,2.75,6,10,2,3,4,6,0,1,1
Gent,Genk,1,1,3.1,3.5,2.15,18,14,4,2,6,2,0,1,1
Cadiz,Valladolid,0,0,2.7,3.2,2.5,7,11,2,1,2,4,0,0,1
St Truiden,Standard,1,0,2.0,3.4,3.6,16,4,2,3,9,1,0,0,2
Mechelen,St. Gilloise,1,1,5.0,4.0,1.62,7,19,1,4,4,10,0,1,1
Aston Villa,Bournemouth,4,0,2.2,3.4,3.25,16,13,8,4,6,9,1,0,2
Brentford,Newcastle,3,1,2.8,3.5,2.45,15,5,7,1,6,2,1,1,2
Crystal Palace,Brighton,0,0,2.25,3.5,3.1,10,7,2,3,4,8,0,0,1
Nott'm Forest,Leeds,3,1,2.25,3.25,3.3,14,10,6,3,6,4,1,1,2
Go Ahead Eagles,Feyenoord,2,1,5.25,4.75,1.53,9,20,5,6,4,7,1,1,2
Anderlecht,Club Brugge,1,0,2.8,3.5,2.3,16,11,3,3,6,5,0,0,2
Lorient,Toulouse,1,1,3.0,3.3,2.4,10,6,2,2,6,4,0,1,1
Angers,Auxerre,2,0,2.55,3.1,2.9,9,12,5,5,3,3,0,0,2
Metz,Nice,2,1,3.3,3.6,2.1,9,11,2,4,6,3,1,1,2
Strasbourg,Lille,2,0,2.63,3.5,2.55,5,7,2,4,1,4,0,0,2
Lyon,Paris SG,2,3,4.2,3.9,1.8,9,9,2,4,5,5,1,1,0
Ath Bilbao,Oviedo,1,0,1.5,3.8,8.0,21,5,7,2,7,4,0,0,2
Vallecano,Real Madrid,0,0,5.25,5.0,1.5,13,21,2,5,5,8,0,0,1
Mallorca,Getafe,1,0,2.5,2.9,3.2,6,14,4,3,1,14,0,0,2
Valencia,Betis,1,1,3.3,3.4,2.2,17,9,4,2,7,2,0,1,1
Granada,Zaragoza,3,1,1.86,3.4,4.0,16,11,7,3,6,5,1,1,2
Famalicao,Porto,0,1,5.5,3.9,1.56,8,19,0,6,2,4,0,0,0
Atalanta,Sassuolo,0,3,1.44,4.5,7.0,14,8,2,4,4,1,1,0,0
Bologna,Napoli,2,0,3.0,3.1,2.55,11,4,4,1,5,4,0,0,2
Genoa,Fiorentina,2,2,2.75,3.0,2.75,10,7,6,3,3,7,1,1,1
Roma,Udinese,2,0,1.55,4.0,6.25,13,10,4,4,3,4,0,0,2
Sp Braga,Moreirense,2,1,1.37,4.75,7.0,11,11,3,1,5,3,1,1,2
Benfica,Casa Pia,2,2,1.13,7.5,13.0,19,7,6,4,6,2,1,1,1
Cesena,Avellino,3,0,1.71,3.6,4.5,11,13,3,3,5,4,1,0,2
Inter,Lazio,2,0,1.36,5.0,8.0,8,8,3,5,3,1,0,0,2
AVS,Gil Vicente,1,1,4.75,3.6,1.68,16,12,8,5,1,4,0,1,1
Ein Frankfurt,Mainz,1,0,1.83,4.0,3.9,14,3,4,0,4,3,0,0,2
Freiburg,St Pauli,2,1,1.83,3.5,4.5,8,7,4,2,9,3,1,1,2
Pescara,Monza,0,2,5.0,3.6,1.66,7,19,1,5,2,7,0,0,0
Las Palmas,Santander,3,1,1.91,3.2,4.2,16,9,7,2,5,5,1,1,2
Estrela,Nacional,1,1,2.7,3.2,2.5,14,17,4,4,2,6,0,1,1
Celta,Barcelona,2,4,4.5,4.2,1.65,5,21,3,9,2,5,1,1,0
Stuttgart,Augsburg,3,2,1.55,4.33,5.75,17,17,6,6,4,4,1,1,2
Blackburn,Oxford,1,1,1.76,3.5,4.75,16,6,5,1,9,3,0,1,1
Charlton,Middlesbrough,1,2,3.3,3.25,2.1,6,13,3,7,5,5,1,1,0
Preston,Coventry,1,1,3.75,3.7,1.86,6,21,2,5,4,8,0,1,1
Sheffield United,Norwich,1,1,1.56,3.9,5.25,17,13,4,6,6,2,0,1,1
Southampton,West Brom,3,2,1.79,3.75,3.9,8,18,4,7,2,9,1,1,2
Swansea,Portsmouth,1,0,2.05,3.3,3.5,15,10,6,3,5,6,0,0,2
Watford,Sheffield Weds,1,1,1.53,4.33,5.0,23,4,9,1,7,4,0,1,1
QPR,Birmingham,2,1,2.85,3.3,2.35,16,3,3,1,6,3,1,1,2
Stevenage,Cardiff,0,1,2.75,3.2,2.4,2,11,0,2,4,6,0,0,0
Reading,Peterboro,1,2,2.15,3.25,3.05,16,8,4,4,5,3,1,1,0
Lincoln,Barnsley,3,1,1.86,3.5,3.9,15,15,8,4,7,8,1,1,2
Leyton Orient,Luton,1,1,2.57,3.25,2.5,7,7,2,1,2,2,0,1,1
Wycombe,Plymouth,0,1,1.56,3.9,5.25,16,5,3,4,6,2,0,0,0
Exeter,AFC Wimbledon,1,0,2.3,3.2,2.95,9,9,3,2,6,4,0,0,2
Mansfield,Bolton,0,1,4.5,3.75,1.66,6,20,1,5,3,5,0,0,0
Northampton,Huddersfield,1,1,3.3,3.4,2.05,3,12,2,5,5,1,0,1,1
Doncaster,Stockport,0,2,2.55,3.25,2.57,8,12,0,5,5,9,0,0,0
Frosinone,Catanzaro,2,0,2.05,3.25,3.6,17,13,5,4,5,3,0,0,2
Groningen,NAC Breda,0,0,1.7,3.9,4.75,16,10,5,2,3,4,0,0,1
PSV Eindhoven,Excelsior,5,1,1.14,8.5,15.0,16,8,8,3,6,4,1,1,2
Cesena,Empoli,0,1,1.91,3.2,4.2,17,11,6,4,12,2,0,0,0
Twente,Zwolle,1,1,1.3,5.5,9.0,26,3,7,1,7,2,0,1,1
AZ Alkmaar,Volendam,1,0,1.2,7.0,12.0,17,7,8,2,7,2,0,0,2
Freiburg,Hamburg,2,1,1.8,3.6,4.5,20,10,7,5,0,3,1,1,2
Heidenheim,FC Koln,2,2,2.9,3.5,2.38,14,21,6,9,5,4,1,1,1
Union Berlin,Mainz,2,2,2.15,3.25,3.7,17,9,5,6,2,1,1,1,1
Leyton Orient,Cardiff,1,1,3.8,3.8,1.79,17,11,5,4,4,3,0,1,1
Juve Stabia,Pescara,2,2,1.71,3.4,5.0,18,15,5,7,8,7,1,1,1
Virtus Entella,Monza,1,0,4.0,3.3,1.91,12,16,4,5,4,8,0,0,2
Leverkusen,Stuttgart,1,4,1.95,4.1,3.4,16,10,4,7,5,3,1,1,0
Sudtirol,Spezia,2,1,2.3,3.0,3.4,10,12,4,3,3,4,1,1,2
Reggiana,Venezia,1,3,5.25,3.9,1.57,13,12,6,5,5,5,1,1,0
Sociedad B,Albacete,0,0,2.7,3.3,2.5,13,20,3,6,2,8,0,0,1
Andorra,Cultural Leonesa,1,1,1.96,3.6,3.5,18,2,5,2,10,1,0,1,1
Santander,Zaragoza,2,3,1.66,3.9,4.5,24,9,6,8,13,3,1,1,0
Como,Bologna,1,1,1.95,3.3,4.2,12,7,3,2,4,2,0,1,1
Atalanta,Torino,2,0,1.6,3.9,6.0,18,10,5,3,5,4,0,0,2
Avellino,Sampdoria,2,1,3.0,3.0,2.45,7,21,3,5,5,2,1,1,2
Celtic,Dundee United,4,0,1.24,6.0,9.5,22,3,8,0,12,3,1,0,2
Hibernian,Motherwell,1,1,2.01,3.4,3.6,14,14,4,5,4,4,0,1,1
Peterboro,Bolton,3,1,2.82,3.6,2.2,16,15,7,2,5,5,1,1,2
Carrarese,Bari,1,0,1.96,3.0,4.33,16,11,6,4,7,3,0,0,2
Livingston,Kilmarnock,1,1,2.25,3.25,3.1,12,9,5,4,7,5,0,1,1
Oviedo,Betis,1,1,4.2,3.5,1.91,13,15,3,6,5,2,0,1,1
Villarreal,Alaves,3,1,1.45,4.33,7.0,11,16,4,5,1,6,1,1,2
Girona,Osasuna,1,0,2.35,3.25,3.1,8,13,4,1,2,1,0,0,2
Udinese,Pisa,2,2,1.83,3.4,4.6,11,14,2,7,3,8,1,1,1
Como,Bologna,1,1,1.95,3.3,4.2,12,7,3,2,4,2,0,1,1
St Mirren,Falkirk,0,2,2.05,3.3,3.5,9,11,3,3,4,8,0,0,0
Stockport,Huddersfield,1,0,2.4,3.3,2.7,15,7,5,3,8,2,0,0,2
Luton,Stevenage,2,1,1.81,3.2,4.5,15,15,7,3,3,7,1,1,2
Mirandes,Almeria,2,2,3.5,3.4,2.01,9,18,3,7,4,7,1,1,1
Burgos,Eibar,1,0,2.55,2.82,3.1,11,9,4,2,2,3,0,0,2
Las Palmas,La Coruna,1,1,2.05,3.1,3.75,14,7,6,3,7,3,0,1,1
Udinese,Pisa,2,2,1.83,3.4,4.6,11,14,2,7,3,8,1,1,1
Roma,Sassuolo,2,0,1.53,4.0,6.5,26,5,6,3,5,2,0,0,2
Atalanta,Torino,2,0,1.6,3.9,6.0,18,10,5,3,5,4,0,0,2
Valencia,Elche,1,1,2.2,3.2,3.5,16,5,4,1,8,6,0,1,1
Roma,Sassuolo,2,0,1.53,4.0,6.5,26,5,6,3,5,2,0,0,2
Tottenham,Newcastle,1,2,3.2,3.6,2.2,16,21,2,5,2,12,1,1,0
Oxford,Norwich,0,3,3.1,3.2,2.3,7,8,1,4,2,4,1,0,0
Birmingham,West Brom,0,0,1.81,3.4,4.33,16,9,5,1,11,3,0,0,1
Chelsea,Leeds,2,2,1.55,4.33,5.5,19,4,4,2,4,1,1,1,1
West Ham,Man United,1,1,4.5,4.2,1.7,7,9,3,3,5,3,0,1,1
Everton,Bournemouth,1,2,2.38,3.4,3.0,16,11,6,4,7,2,1,1,0
Leicester,Southampton,3,4,3.1,3.4,2.2,8,16,3,7,3,9,1,1,0
Reggiana,Mantova,1,0,2.35,3.0,3.2,11,11,3,1,5,3,0,0,2
Hearts,Hibernian,1,0,1.81,3.6,4.0,11,5,2,1,4,8,0,0,2
Pescara,Catanzaro,0,2,2.75,3.3,2.45,20,14,2,6,7,3,0,0,0
Wigan,Reading,1,2,2.4,3.2,2.82,11,13,3,3,3,4,1,1,0
Virtus Entella,Cesena,3,1,2.75,2.82,2.82,11,17,5,2,5,5,1,1,2
Padova,Carrarese,1,0,2.75,2.85,2.75,13,22,2,1,3,8,0,0,2
Venezia,Modena,0,2,1.68,3.6,4.75,17,13,5,7,1,5,0,0,0
Sampdoria,Palermo,3,3,3.5,3.0,2.2,13,15,5,3,3,4,1,1,1
Mansfield,Peterboro,1,2,2.15,3.4,3.1,26,7,10,3,19,0,1,1,0
Leicester,Bristol City,2,0,2.2,3.5,3.0,17,9,5,1,5,9,0,0,2
Stevenage,Leyton Orient,1,2,1.86,3.3,4.1,12,7,4,4,5,2,1,1,0
Stoke,Ipswich,3,3,4.5,3.75,1.66,15,17,6,5,5,9,1,1,1
Mansfield,Reading,1,0,2.1,3.4,3.1,17,7,7,2,13,6,0,0,2
Wigan,Plymouth,0,3,2.55,3.25,2.57,9,11,2,6,5,8,1,0,0
Doncaster,Luton,1,1,2.5,3.5,2.4,17,9,7,2,5,3,0,1,1
Barnsley,Cardiff,1,1,3.5,3.8,1.86,11,12,2,4,4,13,0,1,1
Millwall,Derby,1,0,2.05,3.4,3.5,15,14,4,1,6,2,0,0,2
Portsmouth,Swansea,1,2,2.15,3.3,3.25,9,8,4,3,6,0,1,1,0
Sheffield Weds,Watford,1,1,7.0,4.33,1.41,11,19,4,5,5,5,0,1,1
Wrexham,Hull,1,2,1.91,3.5,3.75,10,12,2,5,8,4,1,1,0
Exeter,Lincoln,0,1,4.1,3.6,1.76,10,18,3,3,6,7,0,0,0
Hibernian,Kilmarnock,2,2,1.7,4.0,4.5,12,10,6,2,4,7,1,1,1
Aberdeen,Celtic,0,2,6.0,5.0,1.44,6,13,2,4,1,6,0,0,0
Moreirense,Alverca,2,1,2.1,3.2,3.6,10,7,3,2,6,2,1,1,2
Sp Braga,Tondela,3,0,1.4,4.5,8.0,8,7,6,3,5,3,1,0,2
Bochum,Elversberg,2,0,1.95,3.8,3.5,16,3,6,1,10,0,0,0,2
Holstein Kiel,Bielefeld,0,2,2.15,3.6,3.1,15,12,7,4,9,7,0,0,0
Standard,Genk,2,1,4.5,3.5,1.75,7,19,5,5,2,6,1,1,2
Antwerp,Oud-Heverlee Leuven,3,1,1.91,3.6,3.7,12,5,4,1,5,3,1,1,2
Hertha,Karlsruhe,0,0,1.8,3.8,4.1,15,19,4,2,5,10,0,0,1
Famalicao,Santa Clara,3,0,2.4,3.0,3.2,6,8,3,2,2,3,1,0,2
RAAL La Louviere,Charleroi,1,0,3.3,3.3,2.15,11,15,2,4,4,3,0,0,2
Dundee United,Hearts,2,3,4.0,3.5,1.91,13,16,5,8,2,9,1,1,0
Utrecht,Heracles,4,0,1.55,4.5,5.5,19,10,7,3,4,4,1,0,2
AZ Alkmaar,Groningen,4,1,1.53,4.33,6.0,10,11,5,8,6,1,1,1,2
Zwolle,Twente,1,0,4.0,3.6,1.91,7,16,2,4,2,4,0,0,2
Leicester,Sheffield Weds,2,1,1.14,8.0,17.0,27,7,13,3,13,3,1,1,2
Ajax,Telstar,2,0,1.17,7.5,17.0,15,18,7,5,8,10,0,0,2
Anderlecht,Waregem,2,3,1.45,4.75,5.75,20,9,7,6,6,5,1,1,0
Granada,Las Palmas,0,0,3.0,3.0,2.5,11,9,1,1,7,7,0,0,1
Burgos,Castellon,0,0,2.4,3.3,2.7,9,11,3,2,5,6,0,0,1
Ipswich,Stoke,1,0,1.57,3.75,5.5,16,6,6,1,3,4,0,0,2
Hull,Wrexham,2,0,2.25,3.3,2.95,19,8,6,1,8,2,0,0,2
Derby,Millwall,1,1,2.5,2.95,2.95,13,12,4,2,11,7,0,1,1
Bristol City,Leicester,2,2,2.25,3.25,3.05,21,12,11,5,10,3,1,1,1
Rotherham,Blackpool,0,3,2.25,3.05,3.05,17,11,4,8,10,3,1,0,0
Sparta Rotterdam,Heracles,2,0,1.85,3.75,4.1,22,6,9,2,9,5,0,0,2
Moreirense,Tondela,1,0,2.01,3.2,3.9,7,8,2,2,4,2,0,0,2
Inter,Napoli,2,2,1.7,3.5,5.25,13,7,4,3,4,1,1,1,1
Lecce,Parma,1,2,2.75,3.0,2.88,10,12,1,2,3,3,1,1,0
Leganes,Valladolid,3,0,2.35,3.1,3.1,12,12,4,2,4,8,1,0,2
Fiorentina,Milan,1,1,3.8,3.4,2.0,20,13,7,3,8,5,0,1,1
Verona,Lazio,0,1,3.4,3.0,2.35,10,11,2,2,2,1,0,0,0
