HomeTeam,AwayTeam,FTHG,FTAG,B365H,B365D,B365A,HS,AS,HST,AST,HC,AC,Over25,BTTS,Result
Dortmund,Heidenheim,3,2,1.22,6.5,12.0,19,12,5,3,12,3,1,1,2
Excelsior,Ajax,2,2,4.2,3.9,1.75,11,9,5,3,4,1,1,1,1
Heracles,For Sittard,2,1,2.35,3.5,2.9,11,12,7,6,4,5,1,1,2
PSV Eindhoven,Feyenoord,3,0,1.73,4.2,4.2,14,8,7,2,8,3,1,0,2
Heerenveen,Utrecht,1,1,1.85,3.75,3.9,19,11,3,4,5,6,0,1,1
Volendam,Go Ahead Eagles,1,1,2.9,3.7,2.25,20,13,4,5,6,5,0,1,1
Torino,Lazio,2,0,2.88,3.0,2.7,13,12,5,3,6,9,0,0,2
Man United,Crystal Palace,2,1,1.53,4.5,5.5,20,8,11,3,7,1,1,1,2
Tondela,Santa Clara,2,2,3.2,3.0,2.35,11,17,4,3,4,7,1,1,1
Brighton,Nott'm Forest,2,1,2.0,3.6,3.5,14,13,7,4,4,4,1,1,2
Genk,Gent,3,0,1.65,3.8,4.75,16,14,6,2,7,8,1,0,2
Westerlo,St. Gilloise,0,0,4.5,3.6,1.67,8,7,4,1,5,3,0,0,1
Charleroi,Club Brugge,1,2,3.9,3.6,1.83,9,15,3,5,2,4,1,1,0
Cercle Brugge,Dender,0,0,1.7,3.5,4.5,21,11,8,6,9,4,0,0,1
Roma,Juventus,3,3,2.63,3.1,2.88,11,13,5,5,4,1,1,1,1
Sassuolo,Atalanta,2,1,3.8,3.6,1.95,7,26,5,7,3,9,1,1,2
Arsenal,Chelsea,2,1,1.6,3.8,5.5,12,9,5,3,5,10,1,1,2
Eibar,Cadiz,3,1,1.71,3.4,5.0,14,6,7,1,4,0,1,1,2
Sociedad B,La Coruna,2,3,3.25,3.3,2.15,14,11,4,4,5,2,1,1,0
Mirandes,Ceuta,0,1,2.3,3.2,3.1,20,8,10,4,8,4,0,0,0
Cremonese,Milan,0,2,6.5,4.33,1.5,15,20,3,6,6,7,0,0,0
Paris FC,Nice,1,0,2.4,3.4,2.9,16,11,6,3,8,6,0,0,2
Roma,Juventus,3,3,2.63,3.1,2.88,11,13,5,5,4,1,1,1,1
Torino,Lazio,2,0,2.88,3.0,2.7,13,12,5,3,6,9,0,0,2
Sassuolo,Atalanta,2,1,3.8,3.6,1.95,7,26,5,7,3,9,1,1,2
Cremonese,Milan,0,2,6.5,4.33,1.5,15,20,3,6,6,7,0,0,0
Hamburg,RB Leipzig,1,2,3.3,3.5,2.15,7,13,3,5,4,9,1,1,0
Ein Frankfurt,Freiburg,2,0,2.2,3.5,3.2,15,4,7,2,5,6,0,0,2
Rio Ave,Famalicao,0,0,4.1,3.4,1.81,16,10,4,4,5,5,0,0,1
Casa Pia,Moreirense,1,1,2.65,3.0,2.75,7,12,2,6,1,7,0,1,1
Cultural Leonesa,Las Palmas,0,3,3.2,3.1,2.3,12,10,5,5,5,4,1,0,0
Rangers,Celtic,2,2,2.1,3.6,3.1,12,17,3,7,6,7,1,1,1
Fulham,Tottenham,2,1,2.1,3.6,3.3,18,13,4,1,5,8,1,1,2
Girona,Celta,1,2,2.38,3.3,3.0,15,7,7,5,10,6,1,1,0
Volendam,Groningen,3,2,3.75,3.6,1.95,12,28,4,9,2,10,1,1,2
Stuttgart,Wolfsburg,4,0,1.5,4.75,5.25,24,10,11,3,7,3,1,0,2
Mantova,Carrarese,1,1,2.5,3.0,3.0,15,11,4,2,6,9,0,1,1
Utrecht,AZ Alkmaar,2,0,2.2,3.6,3.1,11,10,3,6,5,4,0,0,2
Excelsior,Go Ahead Eagles,0,1,2.45,3.5,2.8,19,7,7,1,6,3,0,0,0
Betis,Sevilla,2,2,1.75,3.8,4.5,9,14,2,6,4,3,1,1,1
Magdeburg,Karlsruhe,1,3,1.7,4.2,4.1,23,8,9,7,6,2,1,1,0
Hertha,Nurnberg,2,1,2.0,3.6,3.4,14,5,5,1,3,6,1,1,2
Catanzaro,Frosinone,2,2,2.82,2.85,2.65,22,22,8,7,3,9,1,1,1
Braunschweig,Preußen Münster,1,2,2.35,3.3,2.9,11,8,3,3,7,0,1,1,0
Valencia,Osasuna,1,0,2.35,3.2,3.25,14,8,1,0,5,4,0,0,2
Twente,Feyenoord,2,0,2.25,3.8,2.88,19,8,8,2,4,2,0,0,2
Elche,Espanol,2,2,2.38,3.3,3.0,17,9,9,4,3,1,1,1,1
Pescara,Palermo,2,1,4.33,3.9,1.71,14,12,8,5,9,4,1,1,2
Marseille,Lyon,3,2,1.95,3.6,3.8,18,12,7,6,8,1,1,1,2
Zwolle,Ajax,0,0,4.1,4.2,1.75,9,6,2,2,12,3,0,0,1
Lille,Nantes,1,0,1.45,4.5,7.0,9,3,3,1,4,1,0,0,2
Lorient,Auxerre,2,2,2.05,3.25,3.9,15,10,5,3,3,7,1,1,1
Metz,Brest,0,1,3.6,3.4,2.1,24,6,6,1,12,4,0,0,0
Luton,AFC Wimbledon,1,0,1.5,4.33,5.5,6,2,1,0,5,2,0,0,2
Schalke 04,Hertha,2,1,2.9,3.5,2.3,14,9,6,3,5,10,1,1,2
